Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
NCMI,"National CineMedia, Inc.",6.9,544815830.4,n/a,2007,Consumer Services,Advertising,https://www.nasdaq.com/symbol/ncmi
NCOM,National Commerce Corporation,39.49,814416525.9,n/a,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/ncom
NESR,National Energy Services Reunited Corp.,8.73,746962973.4,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nesr
NESRW,National Energy Services Reunited Corp.,1.3,0,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nesrw
NGHC,National General Holdings Corp,25.66,2896566490,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghc
NGHCN,National General Holdings Corp,23.28,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghcn
NGHCO,National General Holdings Corp,23.25,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghco
NGHCP,National General Holdings Corp,23.87,52514000,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghcp
NGHCZ,National General Holdings Corp,23.95,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghcz
NHLD,National Holdings Corporation,3.31,41345176.9,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/nhld
NHLDW,National Holdings Corporation,0.95,0,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/nhldw
NATI,National Instruments Corporation,48.92,6478602498,n/a,1995,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/nati
NRC,National Research Corporation,39.4,1145809839,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/nrc
NSEC,"National Security Group, Inc.",12.9,32600054.4,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/nsec
EYE,"National Vision Holdings, Inc.",36.34,2804150517,n/a,2017,Health Care,Ophthalmic Goods,https://www.nasdaq.com/symbol/eye
NWLI,"National Western Life Group, Inc.",300.49,1092631521,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/nwli
NAII,"Natural Alternatives International, Inc.",10.0612,76172047.31,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/naii
NHTC,Natural Health Trends Corp.,21.59,245609826.3,n/a,n/a,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/nhtc
NATR,"Nature&#39;s Sunshine Products, Inc.",9.01,172361381.1,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/natr
BABY,Natus Medical Incorporated,34.11,1152280928,n/a,2001,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/baby
JSM,Navient Corporation,18,0,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/jsm
NAVI,Navient Corporation,10.82,2791193072,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/navi
NBTB,NBT Bancorp Inc.,36.33,1585942518,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/nbtb
NCSM,"NCS Multistage Holdings, Inc.",6.94,311667904.8,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ncsm
NEBU,Nebula Acquisition Corporation,9.73,78803007.29,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nebu
NEBUU,Nebula Acquisition Corporation,10.02,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nebuu
NEBUW,Nebula Acquisition Corporation,1.3452,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nebuw
NKTR,Nektar Therapeutics,38,6577238778,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nktr
NMRD,Nemaura Medical Inc.,1.8456,378348000,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nmrd
NEOG,Neogen Corporation,61.62,3203953405,n/a,1989,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/neog
NEO,"NeoGenomics, Inc.",15.82,1471524542,n/a,n/a,Health Care,Precision Instruments,https://www.nasdaq.com/symbol/neo
NTGN,"Neon Therapeutics, Inc.",6.15,174127514.6,n/a,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ntgn
NEON,Neonode Inc.,1.6,9375062.4,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/neon
NEOS,"Neos Therapeutics, Inc.",2.09,103823473.3,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/neos
NVCN,Neovasc Inc.,0.822,19428540.47,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nvcn
NEPT,Neptune Wellness Solutions Inc.,3.07,245235603.3,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nept
UEPS,"Net 1 UEPS Technologies, Inc.",5.11,290421356.8,n/a,2005,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ueps
NETE,"Net Element, Inc.",8.83,34110457.77,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/nete
NTAP,"NetApp, Inc.",67.97,17120688837,n/a,1995,Technology,Electronic Components,https://www.nasdaq.com/symbol/ntap
NTES,"NetEase, Inc.",229.43,17512538047,76330637,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ntes
NFLX,"Netflix, Inc.",275.33,1.20067E+11,n/a,2002,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/nflx
NTGR,"NETGEAR, Inc.",49.55,1562350347,n/a,2003,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/ntgr
NTCT,"NetScout Systems, Inc.",26.2,2035863769,n/a,1999,Technology,EDP Services,https://www.nasdaq.com/symbol/ntct
NTWK,NetSol Technologies Inc.,6.21,73230555.6,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ntwk
CUR,"Neuralstem, Inc.",0.4665,8492660.49,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cur
NBIX,"Neurocrine Biosciences, Inc.",86.24,7820431376,n/a,1996,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/nbix
NURO,"NeuroMetrix, Inc.",0.9,6628534.2,n/a,2004,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nuro
NUROW,"NeuroMetrix, Inc.",0.0211,0,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nurow
STIM,"Neuronetics, Inc.",18.54,325923763.1,n/a,2018,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/stim
NTRP,"Neurotrope, Inc.",5.66,44768862.38,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ntrp
NBEV,New Age Beverages Corporation,4.58,333588248,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/nbev
NYMT,"New York Mortgage Trust, Inc.",6.1,861408620.8,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nymt
NYMTN,"New York Mortgage Trust, Inc.",22.8,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nymtn
NYMTO,"New York Mortgage Trust, Inc.",23.2247,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nymto
NYMTP,"New York Mortgage Trust, Inc.",23.02,0,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nymtp
NEWA,"Newater Technology, Inc.",8.35,90255150,n/a,2017,Basic Industries,Miscellaneous,https://www.nasdaq.com/symbol/newa
NLNK,NewLink Genetics Corporation,1.86,69237767.16,n/a,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nlnk
NMRK,"Newmark Group, Inc.",8.43,1429865097,n/a,2017,Finance,Real Estate,https://www.nasdaq.com/symbol/nmrk
NWS,News Corporation,13.27,7760893827,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/nws
NWSA,News Corporation,12.89,7538652707,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/nwsa
NEWT,Newtek Business Services Corp.,20.88,394593100.6,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/newt
NEWTI,Newtek Business Services Corp.,25.49,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/newti
NEWTZ,Newtek Business Services Corp.,25.6,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/newtz
NXEO,"Nexeo Solutions, Inc.",9.33,837158004.2,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/nxeo
NXEOU,"Nexeo Solutions, Inc.",9.95,0,n/a,2014,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/nxeou
NXEOW,"Nexeo Solutions, Inc.",0.64,0,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/nxeow
NXST,"Nexstar Media Group, Inc.",85.3,3890740791,n/a,2003,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/nxst
NEXT,NextDecade Corporation,4.9,533370718.3,n/a,2015,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/next
NXGN,"NextGen Healthcare, Inc.",17.77,1149158072,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/nxgn
NFEC,NF Energy Saving Corporation,11.52,87244289.28,n/a,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/nfec
NODK,"NI Holdings, Inc.",15.52,347024778.9,n/a,2017,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nodk
EGOV,NIC Inc.,12.66,842767819.1,n/a,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/egov
NICE,NICE Ltd,115.5,4859784006,42076052,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/nice
NICK,"Nicholas Financial, Inc.",10.28,81305774.16,n/a,n/a,Finance,Finance Companies,https://www.nasdaq.com/symbol/nick
NCBS,Nicolet Bankshares Inc.,50.39,486000161.9,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ncbs
NITE,Nightstar Therapeutics plc,14.52,132920348.9,9154294,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/nite
NIHD,"NII Holdings, Inc.",4.66,470070151.2,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/nihd
NIU,Niu Technologies,8,66400000,8300000,2018,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/niu
LASR,"nLIGHT, Inc.",20,696025760,n/a,2018,Technology,Semiconductors,https://www.nasdaq.com/symbol/lasr
NMIH,NMI Holdings Inc,18.76,1243831467,n/a,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nmih
NNBR,"NN, Inc.",6.65,279992976.6,n/a,1994,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/nnbr
NDLS,Noodles & Company,7.61,334246922.3,n/a,2013,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/ndls
NDSN,Nordson Corporation,116.13,6752805744,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ndsn
NSYS,Nortech Systems Incorporated,4.73,12695561.23,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/nsys
NBN,Northeast Bancorp,18.57,165994277.4,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/nbn
NTIC,Northern Technologies International Corporation,31.25,141915750,n/a,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/ntic
NTRS,Northern Trust Corporation,94.37,20893079934,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ntrs
NTRSP,Northern Trust Corporation,25.18,402880000,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ntrsp
NFBK,"Northfield Bancorp, Inc.",13.51,668649497.8,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/nfbk
NRIM,Northrim BanCorp Inc,35.5,243990044.5,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/nrim
NWBI,"Northwest Bancshares, Inc.",17.1,1766443133,n/a,2009,Finance,Major Banks,https://www.nasdaq.com/symbol/nwbi
NWPX,Northwest Pipe Company,22.74,221375150.7,n/a,1995,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/nwpx
NCLH,Norwegian Cruise Line Holdings Ltd.,48.77,10810323232,n/a,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/nclh
NWFL,Norwood Financial Corp.,34.71,217394248.9,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/nwfl
